License #,DBA Name,Address,City,State
2664160.0,SABROSO,624 N ASHLAND AVE ,CHICAGO,IL
2621900.0,POLITAN ROW,111 N ABERDEEN ST ,CHICAGO,IL
2664063.0,ANTHONY'S DINER,7544 W ADDISON ST ,CHICAGO,IL
2664156.0,EL NUEVO PUERTO MARISCOS AND GRILL,2752 W LAWRENCE AVE ,CHICAGO,IL
2398055.0,D FRUTA LA VIDA LLC,3739 W FULLERTON AVE ,CHICAGO,IL
1095992.0,LAS ISLAS MARIAS,4770 W GRAND AVE ,CHICAGO,IL
2664659.0,TOM AND JERRY'S,6359 W MONTROSE AVE ,CHICAGO,IL
2506262.0,RANGOLI,2421 W NORTH AVE ,CHICAGO,IL
2622063.0,DEVIL DAWGS,939 W BELMONT AVE ,CHICAGO,IL
2617403.0,BIRRIERIA TAPATIA,2861 W CERMAK RD ,CHICAGO,IL
2458216.0,SUGAR FACTORY,55 E GRAND AVE ,CHICAGO,IL
2549711.0,SCHUBA'S TAVERN/TIED HOUSE,3153-3159 N SOUTHPORT AVE ,CHICAGO,IL
2658537.0,D CUISINE,2723 N CLARK ST ,CHICAGO,IL
1647557.0,RIVER ROAST,315 N LA SALLE DR ,CHICAGO,IL
1969627.0,NEW PINE VALLEY RESTAURANT,1600 S PULASKI RD ,CHICAGO,IL
2621121.0,606 CAFE/BAR,1641 W CHICAGO AVE ,CHICAGO,IL
2646817.0,HOMEWOOD SUITES BY HILTON CHICAGO DOWNTOWN SOUTHLO,1101 S WABASH AVE ,CHICAGO,IL
2646294.0,HOMEWOOD SUITES BY HILTON CHICAGO DOWNTOWN SOUTHLO,1101 S WABASH AVE ,CHICAGO,IL
26892.0,LA FLOR DE ACAPULCO INC,6021 W GRAND AVE ,CHICAGO,IL
1488911.0,SUBWAY 26199,2851 N MILWAUKEE AVE ,CHICAGO,IL
2164181.0,DELICIAS MEXICANA RESTAURANT,4148 W 26TH ST ,CHICAGO,IL
2463242.0,CRAWFORDS,3938-3942 W SCHOOL ST ,CHICAGO,IL
58047.0,GORILLA SUSHI BAR ON CLARK,4617 N CLARK ST ,CHICAGO,IL
2664015.0,T-TIME NUTRITION,3028 W CERMAK RD ,CHICAGO,IL
27123.0,CHINA EXPRESS REST,5663 W GRAND AVE ,CHICAGO,IL
2663790.0,DOGGONE'S,3301 W ARMITAGE AVE ,CHICAGO,IL
1383191.0,SOUTHSIDE SHRIMP,10410 S KEDZIE AVE ,CHICAGO,IL
2088868.0,THE COMMON CUP,1501-1503 W MORSE AVE ,CHICAGO,IL
1910293.0,"SU TAQUERIA EL GALLO BRAVO 5, INC.",1429 W MONTROSE AVE ,CHICAGO,IL
2496144.0,606 CAFE/BAR,1641 W CHICAGO AVE ,CHICAGO,IL
2646295.0,HOMEWOOD SUITES BY HILTON CHICAGO DOWNTOWN SOUTHLO,1101 S WABASH AVE ,CHICAGO,IL
2664804.0,FLAVA FOOD 4 THE SOUL,3952 W 16TH ST ,CHICAGO,IL
2583373.0,GORDITAS LOLI'S #2,3650 W BELMONT AVE ,CHICAGO,IL
29514.0,LINDY'S CHILI- GERTIE'S ICE CREAM & CHILI,11009 S KEDZIE AVE ,CHICAGO,IL
2340664.0,FRIDA ROOM,1454 W 18TH ST ,CHICAGO,IL
2079385.0,Subway,1406 W 18th ST ,CHICAGO,IL
2664621.0,PETE'S GRILL,7557 N PAULINA ST ,CHICAGO,IL
2646641.0,BACON & JAM,3335 W 111TH ST ,CHICAGO,IL
2055272.0,SYDNEY MAROVITZ GOLF COURSE,3600 N RECREATION DR ,CHICAGO,IL
1799063.0,AMC THEATRES FORD CITY 14,7601 S CICERO AVE ,CHICAGO,IL
54882.0,BARNES & NOBLES BOOKSELLERS #2780,1441 W WEBSTER AVE ,CHICAGO,IL
2183957.0,BADOU SENEGALESE CUISINE,2055 W HOWARD ST ,CHICAGO,IL
1869112.0,JOHN'S PLACE,2132 W ROSCOE ST ,CHICAGO,IL
2078867.0,TAQUERIA  CD  HIDALGO,7104 N CLARK ST ,CHICAGO,IL
2595407.0,CAPITAL ONE CAFE,100 S STATE ST ,CHICAGO,IL
2483154.0,SERAI,2169-2171 N MILWAUKEE AVE ,CHICAGO,IL
1475925.0,CARMELITA'S TAQUERIA,1206 W LAWRENCE AVE ,CHICAGO,IL
1840862.0,LA CHOZA MEXICAN GRILL,7022 N CLARK ST ,CHICAGO,IL
