license_no,yelp_id,inspection_name,inspection_address,yelp_name,yelp_address
2664160.0,0,SABROSO,624 N ASHLAND AVE ,,
2621900.0,rsZ6Qd_lxW2NEKK5vy8ZVg,POLITAN ROW,111 N ABERDEEN ST ,Politan Row Chicago,111 N Aberdeen St
2664063.0,9Gei7OFl8mtKBzsSQvgQqQ,ANTHONY'S DINER,7544 W ADDISON ST ,Rick's Diner,7544 W Addison St
2664156.0,VS6BQRqCm5jZ-7jXMTwfSg,EL NUEVO PUERTO MARISCOS AND GRILL,2752 W LAWRENCE AVE ,El Puerto Mariscos & Grill,2752 W Lawrence Ave
2398055.0,hv9IJpOjOkigqN7n8BeS4A,D FRUTA LA VIDA LLC,3739 W FULLERTON AVE ,D Fruta La Vida,3739 W Fullerton Ave
1095992.0,k6-CqrC7IiIsMpypP4vaZw,LAS ISLAS MARIAS,4770 W GRAND AVE ,Las Islas Marias,4770 W Grand Ave
2664659.0,hmX4VH9WgDrEL9HJKcCL5A,TOM AND JERRY'S,6359 W MONTROSE AVE ,Tom & Jerry's,6359 W Montrose Ave
2506262.0,1GiybV2faVpTt1zw13CzLA,RANGOLI,2421 W NORTH AVE ,Rangoli,2421 W North Ave
2622063.0,0,DEVIL DAWGS,939 W BELMONT AVE ,,
2617403.0,XW6EiWtKY4-ZBq7TYUowiQ,BIRRIERIA TAPATIA,2861 W CERMAK RD ,Birrieria La Tapatia De Ocotlan,2861 W Cermak Rd
2458216.0,MRZRq78_bY3zi4t0iPmNAQ,SUGAR FACTORY,55 E GRAND AVE ,Sugar Factory - American Brasserie,55 E Grand Ave
2549711.0,7erf6yRfYGkrQAuLo9e9xA,SCHUBA'S TAVERN/TIED HOUSE,3153-3159 N SOUTHPORT AVE ,Schubas Tavern,3159 N Southport Ave
2658537.0,0,D CUISINE,2723 N CLARK ST ,,
1647557.0,TC8tG6To87DUzC365njvXw,RIVER ROAST,315 N LA SALLE DR ,River Roast,315 N La Salle Dr
1969627.0,0,NEW PINE VALLEY RESTAURANT,1600 S PULASKI RD ,,
2621121.0,a3DwTLYFIwLo0kESduHvhQ,606 CAFE/BAR,1641 W CHICAGO AVE ,Six06 Cafe Bar,1641 W Chicago Ave
2646817.0,0,HOMEWOOD SUITES BY HILTON CHICAGO DOWNTOWN SOUTHLO,1101 S WABASH AVE ,,
2646294.0,0,HOMEWOOD SUITES BY HILTON CHICAGO DOWNTOWN SOUTHLO,1101 S WABASH AVE ,,
26892.0,SuUn5MWCOGTZ8VI2WM8TJg,LA FLOR DE ACAPULCO INC,6021 W GRAND AVE ,La Flor De Acapulco,6021 W Grand Ave
1488911.0,VtB2vdE53yEG6V_TMYGX9g,SUBWAY 26199,2851 N MILWAUKEE AVE ,Subway,2851 N Milwaukee Ave
2164181.0,qGtrDyj_z8Q2SQx2gB_WPQ,DELICIAS MEXICANA RESTAURANT,4148 W 26TH ST ,Delicias Mexicanas,4148 W 26th St
2463242.0,0,CRAWFORDS,3938-3942 W SCHOOL ST ,,
58047.0,2mI4cfD0A2jjCJdE-WJ39A,GORILLA SUSHI BAR ON CLARK,4617 N CLARK ST ,Gorilla Sushi On Clark Street,4617 N Clark St
2664015.0,0,T-TIME NUTRITION,3028 W CERMAK RD ,,
27123.0,3ORa0JxpFcj6mDJzdSJy6Q,CHINA EXPRESS REST,5663 W GRAND AVE ,China Express,5663 W Grand Ave
2663790.0,0,DOGGONE'S,3301 W ARMITAGE AVE ,,
1383191.0,mrzva_SGPOfnnpIBa9mN1w,SOUTHSIDE SHRIMP,10410 S KEDZIE AVE ,Frank's Chicago Style Shrimp,10410 S Kedzie Ave
2088868.0,xpNlhoJhrquywsdZqPayjA,THE COMMON CUP,1501-1503 W MORSE AVE ,Common Cup,1501 W Morse Ave
1910293.0,Hff8zm1xUODJTuCS9ZIdLw,"SU TAQUERIA EL GALLO BRAVO 5, INC.",1429 W MONTROSE AVE ,El Gallo Bravo,1429 W Montrose Ave
2496144.0,a3DwTLYFIwLo0kESduHvhQ,606 CAFE/BAR,1641 W CHICAGO AVE ,Six06 Cafe Bar,1641 W Chicago Ave
2646295.0,0,HOMEWOOD SUITES BY HILTON CHICAGO DOWNTOWN SOUTHLO,1101 S WABASH AVE ,,
2664804.0,0,FLAVA FOOD 4 THE SOUL,3952 W 16TH ST ,,
2583373.0,b3TqI7GswQ6gzXWR_2SbVw,GORDITAS LOLI'S #2,3650 W BELMONT AVE ,Gorditas Loli's,3650 w Belmont ave
29514.0,DodyYkChG20rqx3-zs8M-Q,LINDY'S CHILI- GERTIE'S ICE CREAM & CHILI,11009 S KEDZIE AVE ,Lindy's Chili & Gertie's Ice Cream,11009 S Kedzie Ave
2340664.0,LBfrLmm1jWYTeqWzsM_S4A,FRIDA ROOM,1454 W 18TH ST ,Frida Room,1454 W 18th St
2079385.0,hCmNPpGSwfKdhYoGOMQS4Q,Subway,1406 W 18th ST ,Subway,1406 W 18th St
2664621.0,0,PETE'S GRILL,7557 N PAULINA ST ,,
2646641.0,L6n4bNehSO73aS--FbP-fA,BACON & JAM,3335 W 111TH ST ,Bacon and Jam,3335 W 111th St
2055272.0,CjNwD_zz4Go5h0kKXl58rA,SYDNEY MAROVITZ GOLF COURSE,3600 N RECREATION DR ,Sydney R. Marovitz Golf Course,3600 N Recreation Dr
1799063.0,yyZgY3ttGa_MzIyi3UhNEA,AMC THEATRES FORD CITY 14,7601 S CICERO AVE ,AMC Ford City 14,7601 South Cicero Ave
54882.0,P81v73AYNZALWOkYczY7PA,BARNES & NOBLES BOOKSELLERS #2780,1441 W WEBSTER AVE ,Barnes & Noble,1441 W Webster Ave
2183957.0,iYkSApULC1fOAdG-zBhtWg,BADOU SENEGALESE CUISINE,2055 W HOWARD ST ,Badou Senegalese Cuisine,2055 W Howard St
1869112.0,UjoGRqKMSI1V0f3BsOyPhQ,JOHN'S PLACE,2132 W ROSCOE ST ,John's Place,2132 W Roscoe St
