alias,categories,coordinates,display_phone,hours,yelp_id,image_url,is_claimed,is_closed,display_address,address1,address2,address3,city,state,zip_code,country,business_name,phone,price,rating,review_count,transactions,yelp_url
politan-row-chicago-chicago-2,"[{'alias': 'food_court', 'title': 'Food Court'}]","{'latitude': 41.8832451, 'longitude': -87.654196}",(312) 278-3040,"[{'open': [{'is_overnight': False, 'start': '0700', 'end': '2200', 'day': 0}, {'is_overnight': False, 'start': '0700', 'end': '2200', 'day': 1}, {'is_overnight': False, 'start': '0700', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '0700', 'end': '2200', 'day': 3}, {'is_overnight': False, 'start': '0700', 'end': '2300', 'day': 4}, {'is_overnight': False, 'start': '0700', 'end': '2300', 'day': 5}, {'is_overnight': False, 'start': '0700', 'end': '2200', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",rsZ6Qd_lxW2NEKK5vy8ZVg,https://s3-media2.fl.yelpcdn.com/bphoto/LYBaBRTnP_RiERAe6BYVFQ/o.jpg,True,False,"['111 N Aberdeen St', 'Chicago, IL 60607']",111 N Aberdeen St,,,Chicago,IL,60607,US,Politan Row Chicago,+13122783040,,4.5,9,[],https://www.yelp.com/biz/politan-row-chicago-chicago-2?adjust_creative=US136sO1XMxv5IZZuaYfCg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=US136sO1XMxv5IZZuaYfCg
ricks-diner-chicago,"[{'alias': 'diners', 'title': 'Diners'}]","{'latitude': 41.9452096002495, 'longitude': -87.8160696476698}",(773) 688-5585,,9Gei7OFl8mtKBzsSQvgQqQ,https://s3-media3.fl.yelpcdn.com/bphoto/b1R6scLwOUNpD8kJ3z4NGQ/o.jpg,True,True,"['7544 W Addison St', 'Chicago, IL 60634']",7544 W Addison St,,,Chicago,IL,60634,US,Rick's Diner,+17736885585,,4.5,14,"['delivery', 'pickup']",https://www.yelp.com/biz/ricks-diner-chicago?adjust_creative=US136sO1XMxv5IZZuaYfCg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=US136sO1XMxv5IZZuaYfCg
el-puerto-mariscos-and-grill-chicago,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'mexican', 'title': 'Mexican'}]","{'latitude': 41.9688, 'longitude': -87.69808}",(773) 930-3160,"[{'open': [{'is_overnight': False, 'start': '0900', 'end': '2200', 'day': 0}, {'is_overnight': False, 'start': '0900', 'end': '2200', 'day': 1}, {'is_overnight': False, 'start': '0900', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '0900', 'end': '2200', 'day': 3}, {'is_overnight': False, 'start': '0900', 'end': '2200', 'day': 4}, {'is_overnight': False, 'start': '0900', 'end': '2200', 'day': 5}, {'is_overnight': False, 'start': '0900', 'end': '2200', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",VS6BQRqCm5jZ-7jXMTwfSg,https://s3-media3.fl.yelpcdn.com/bphoto/uSPA4TyWmJyyACmpPtzZVA/o.jpg,True,False,"['2752 W Lawrence Ave', 'Chicago, IL 60625']",2752 W Lawrence Ave,,,Chicago,IL,60625,US,El Puerto Mariscos & Grill,+17739303160,,3.0,5,"['pickup', 'delivery']",https://www.yelp.com/biz/el-puerto-mariscos-and-grill-chicago?adjust_creative=US136sO1XMxv5IZZuaYfCg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=US136sO1XMxv5IZZuaYfCg
d-fruta-la-vida-chicago,"[{'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}]","{'latitude': 41.924243927002, 'longitude': -87.7209854125977}",(773) 905-7155,"[{'open': [{'is_overnight': False, 'start': '0800', 'end': '2200', 'day': 0}, {'is_overnight': False, 'start': '0800', 'end': '2200', 'day': 1}, {'is_overnight': False, 'start': '0800', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '0800', 'end': '2200', 'day': 3}, {'is_overnight': False, 'start': '0800', 'end': '2200', 'day': 4}, {'is_overnight': False, 'start': '0800', 'end': '2200', 'day': 5}, {'is_overnight': False, 'start': '0800', 'end': '2200', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",hv9IJpOjOkigqN7n8BeS4A,https://s3-media1.fl.yelpcdn.com/bphoto/LxGL3PLZkiBC2vUVEEq8yQ/o.jpg,True,False,"['3739 W Fullerton Ave', 'Chicago, IL 60647']",3739 W Fullerton Ave,,,Chicago,IL,60647,US,D Fruta La Vida,+17739057155,$,4.0,50,"['pickup', 'delivery']",https://www.yelp.com/biz/d-fruta-la-vida-chicago?adjust_creative=US136sO1XMxv5IZZuaYfCg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=US136sO1XMxv5IZZuaYfCg
las-islas-marias-chicago-3,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'seafood', 'title': 'Seafood'}]","{'latitude': 41.913829, 'longitude': -87.7453618}",(773) 637-8233,"[{'open': [{'is_overnight': False, 'start': '0930', 'end': '2030', 'day': 0}, {'is_overnight': False, 'start': '0930', 'end': '2030', 'day': 1}, {'is_overnight': False, 'start': '0930', 'end': '2030', 'day': 2}, {'is_overnight': False, 'start': '0930', 'end': '2030', 'day': 3}, {'is_overnight': False, 'start': '0930', 'end': '2230', 'day': 4}, {'is_overnight': False, 'start': '0930', 'end': '1030', 'day': 5}, {'is_overnight': False, 'start': '0930', 'end': '2030', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]",k6-CqrC7IiIsMpypP4vaZw,https://s3-media3.fl.yelpcdn.com/bphoto/oi5mriwUXYETTkhW3VGd5A/o.jpg,False,False,"['4770 W Grand Ave', 'Chicago, IL 60639']",4770 W Grand Ave,,,Chicago,IL,60639,US,Las Islas Marias,+17736378233,$$,3.0,43,[],https://www.yelp.com/biz/las-islas-marias-chicago-3?adjust_creative=US136sO1XMxv5IZZuaYfCg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=US136sO1XMxv5IZZuaYfCg
tom-and-jerrys-chicago-3,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}, {'alias': 'greek', 'title': 'Greek'}]","{'latitude': 41.9598324597632, 'longitude': -87.7865601174852}",(773) 282-1111,"[{'open': [{'is_overnight': False, 'start': '1000', 'end': '2100', 'day': 0}, {'is_overnight': False, 'start': '1000', 'end': '2100', 'day': 1}, {'is_overnight': False, 'start': '1000', 'end': '2100', 'day': 2}, {'is_overnight': False, 'start': '1000', 'end': '2100', 'day': 3}, {'is_overnight': False, 'start': '1000', 'end': '2100', 'day': 4}, {'is_overnight': False, 'start': '1000', 'end': '2100', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '1900', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",hmX4VH9WgDrEL9HJKcCL5A,https://s3-media1.fl.yelpcdn.com/bphoto/h_iF3S7YP8m4uiYhBQQekg/o.jpg,True,False,"['6359 W Montrose Ave', 'Chicago, IL 60634']",6359 W Montrose Ave,,,Chicago,IL,60634,US,Tom & Jerry's,+17732821111,$,3.0,77,"['delivery', 'pickup']",https://www.yelp.com/biz/tom-and-jerrys-chicago-3?adjust_creative=US136sO1XMxv5IZZuaYfCg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=US136sO1XMxv5IZZuaYfCg
rangoli-chicago,"[{'alias': 'indpak', 'title': 'Indian'}]","{'latitude': 41.910198, 'longitude': -87.68809}",(773) 697-7114,"[{'open': [{'is_overnight': False, 'start': '1630', 'end': '2200', 'day': 1}, {'is_overnight': False, 'start': '1630', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '1630', 'end': '2200', 'day': 3}, {'is_overnight': False, 'start': '1630', 'end': '2200', 'day': 4}, {'is_overnight': False, 'start': '1200', 'end': '2200', 'day': 5}, {'is_overnight': False, 'start': '1630', 'end': '2200', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",1GiybV2faVpTt1zw13CzLA,https://s3-media1.fl.yelpcdn.com/bphoto/meetfqcrFEX9LoZs19eHvw/o.jpg,True,False,"['2421 W North Ave', 'Chicago, IL 60647']",2421 W North Ave,,,Chicago,IL,60647,US,Rangoli,+17736977114,$$,4.0,606,"['pickup', 'delivery']",https://www.yelp.com/biz/rangoli-chicago?adjust_creative=US136sO1XMxv5IZZuaYfCg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=US136sO1XMxv5IZZuaYfCg
birrieria-la-tapatia-de-ocotlan-chicago,"[{'alias': 'mexican', 'title': 'Mexican'}]","{'latitude': 41.8516006469727, 'longitude': -87.6977996826172}",(773) 247-7914,"[{'open': [{'is_overnight': False, 'start': '0900', 'end': '1900', 'day': 0}, {'is_overnight': False, 'start': '0900', 'end': '1900', 'day': 1}, {'is_overnight': False, 'start': '0900', 'end': '1900', 'day': 3}, {'is_overnight': False, 'start': '0900', 'end': '1900', 'day': 4}, {'is_overnight': False, 'start': '0800', 'end': '2000', 'day': 5}, {'is_overnight': False, 'start': '0800', 'end': '2000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",XW6EiWtKY4-ZBq7TYUowiQ,https://s3-media3.fl.yelpcdn.com/bphoto/V5yOtCI6P5BX-pxn6F_ZTA/o.jpg,False,False,"['2861 W Cermak Rd', 'Chicago, IL 60623']",2861 W Cermak Rd,,,Chicago,IL,60623,US,Birrieria La Tapatia De Ocotlan,+17732477914,,5.0,3,[],https://www.yelp.com/biz/birrieria-la-tapatia-de-ocotlan-chicago?adjust_creative=US136sO1XMxv5IZZuaYfCg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=US136sO1XMxv5IZZuaYfCg
sugar-factory-american-brasserie-chicago,"[{'alias': 'candy', 'title': 'Candy Stores'}, {'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'desserts', 'title': 'Desserts'}]","{'latitude': 41.8913867352473, 'longitude': -87.626222289853}",(312) 946-2002,"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 3}, {'is_overnight': True, 'start': '1100', 'end': '0100', 'day': 4}, {'is_overnight': True, 'start': '1000', 'end': '0200', 'day': 5}, {'is_overnight': False, 'start': '1000', 'end': '2300', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",MRZRq78_bY3zi4t0iPmNAQ,https://s3-media3.fl.yelpcdn.com/bphoto/XVopIa7CcSWwSXfHGwpVmQ/o.jpg,True,False,"['55 E Grand Ave', 'Chicago, IL 60611']",55 E Grand Ave,,,Chicago,IL,60611,US,Sugar Factory - American Brasserie,+13129462002,$$,3.0,538,"['delivery', 'pickup']",https://www.yelp.com/biz/sugar-factory-american-brasserie-chicago?adjust_creative=US136sO1XMxv5IZZuaYfCg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=US136sO1XMxv5IZZuaYfCg
schubas-tavern-chicago-3,"[{'alias': 'musicvenues', 'title': 'Music Venues'}, {'alias': 'newamerican', 'title': 'American (New)'}]","{'latitude': 41.93965, 'longitude': -87.66343}",(773) 525-2508,"[{'open': [{'is_overnight': True, 'start': '1700', 'end': '0200', 'day': 0}, {'is_overnight': True, 'start': '1700', 'end': '0200', 'day': 1}, {'is_overnight': True, 'start': '1700', 'end': '0200', 'day': 2}, {'is_overnight': True, 'start': '1700', 'end': '0200', 'day': 3}, {'is_overnight': True, 'start': '1700', 'end': '0200', 'day': 4}, {'is_overnight': True, 'start': '1030', 'end': '0300', 'day': 5}, {'is_overnight': True, 'start': '1030', 'end': '0200', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",7erf6yRfYGkrQAuLo9e9xA,https://s3-media3.fl.yelpcdn.com/bphoto/WyRDcIvbLt1p-joEWLlKxw/o.jpg,True,False,"['3159 N Southport Ave', 'Chicago, IL 60657']",3159 N Southport Ave,,,Chicago,IL,60657,US,Schubas Tavern,+17735252508,$$,4.0,545,"['delivery', 'pickup']",https://www.yelp.com/biz/schubas-tavern-chicago-3?adjust_creative=US136sO1XMxv5IZZuaYfCg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=US136sO1XMxv5IZZuaYfCg
river-roast-chicago-3,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'gastropubs', 'title': 'Gastropubs'}]","{'latitude': 41.887957929885, 'longitude': -87.6321899243637}",(312) 822-0100,"[{'open': [{'is_overnight': False, 'start': '1130', 'end': '2200', 'day': 0}, {'is_overnight': False, 'start': '1130', 'end': '2200', 'day': 1}, {'is_overnight': False, 'start': '1130', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '1130', 'end': '2200', 'day': 3}, {'is_overnight': False, 'start': '1130', 'end': '2300', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",TC8tG6To87DUzC365njvXw,https://s3-media1.fl.yelpcdn.com/bphoto/OY5fCnRSUTDK5e69ePvZHQ/o.jpg,True,False,"['315 N La Salle Dr', 'Chicago, IL 60654']",315 N La Salle Dr,,,Chicago,IL,60654,US,River Roast,+13128220100,$$,4.0,779,['delivery'],https://www.yelp.com/biz/river-roast-chicago-3?adjust_creative=US136sO1XMxv5IZZuaYfCg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=US136sO1XMxv5IZZuaYfCg
six06-cafe-bar-chicago,"[{'alias': 'greek', 'title': 'Greek'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 41.89573, 'longitude': -87.66893}",(312) 929-4911,"[{'open': [{'is_overnight': False, 'start': '1000', 'end': '2300', 'day': 0}, {'is_overnight': False, 'start': '1000', 'end': '2300', 'day': 1}, {'is_overnight': False, 'start': '1000', 'end': '2300', 'day': 2}, {'is_overnight': False, 'start': '1000', 'end': '2300', 'day': 3}, {'is_overnight': True, 'start': '1000', 'end': '0100', 'day': 4}, {'is_overnight': True, 'start': '1000', 'end': '0100', 'day': 5}, {'is_overnight': False, 'start': '1000', 'end': '2200', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",a3DwTLYFIwLo0kESduHvhQ,https://s3-media2.fl.yelpcdn.com/bphoto/pXdvVvfOyGK428SZ9uV_GA/o.jpg,True,False,"['1641 W Chicago Ave', 'Chicago, IL 60622']",1641 W Chicago Ave,,,Chicago,IL,60622,US,Six06 Cafe Bar,+13129294911,$$,4.5,74,"['pickup', 'delivery']",https://www.yelp.com/biz/six06-cafe-bar-chicago?adjust_creative=US136sO1XMxv5IZZuaYfCg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=US136sO1XMxv5IZZuaYfCg
la-flor-de-acapulco-chicago,"[{'alias': 'mexican', 'title': 'Mexican'}]","{'latitude': 41.92046, 'longitude': -87.7765299}",(773) 637-8737,"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '0000', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '0000', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",SuUn5MWCOGTZ8VI2WM8TJg,https://s3-media4.fl.yelpcdn.com/bphoto/B7wHnvwNkLQn9pyVylIDAA/o.jpg,True,False,"['6021 W Grand Ave', 'Chicago, IL 60639']",6021 W Grand Ave,,,Chicago,IL,60639,US,La Flor De Acapulco,+17736378737,$,4.5,20,[],https://www.yelp.com/biz/la-flor-de-acapulco-chicago?adjust_creative=US136sO1XMxv5IZZuaYfCg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=US136sO1XMxv5IZZuaYfCg
subway-chicago-89,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'hotdogs', 'title': 'Fast Food'}]","{'latitude': 41.9331657, 'longitude': -87.7138369}",(773) 252-2320,,VtB2vdE53yEG6V_TMYGX9g,https://s3-media4.fl.yelpcdn.com/bphoto/8JihzpSdsx0O34GKyGQVTw/o.jpg,True,False,"['2851 N Milwaukee Ave', 'Chicago, IL 60618']",2851 N Milwaukee Ave,,,Chicago,IL,60618,US,Subway,+17732522320,$,3.5,11,[],https://www.yelp.com/biz/subway-chicago-89?adjust_creative=US136sO1XMxv5IZZuaYfCg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=US136sO1XMxv5IZZuaYfCg
delicias-mexicanas-chicago,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'hotdog', 'title': 'Hot Dogs'}]","{'latitude': 41.84446, 'longitude': -87.72895}",(773) 522-5009,"[{'open': [{'is_overnight': False, 'start': '1000', 'end': '0000', 'day': 0}, {'is_overnight': False, 'start': '1000', 'end': '0000', 'day': 1}, {'is_overnight': False, 'start': '1000', 'end': '0000', 'day': 2}, {'is_overnight': True, 'start': '1000', 'end': '0100', 'day': 3}, {'is_overnight': True, 'start': '1000', 'end': '0500', 'day': 4}, {'is_overnight': True, 'start': '1000', 'end': '0600', 'day': 5}, {'is_overnight': True, 'start': '1000', 'end': '0500', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",qGtrDyj_z8Q2SQx2gB_WPQ,https://s3-media2.fl.yelpcdn.com/bphoto/h6Fwm3k3ethkB2JK3KkOuQ/o.jpg,False,False,"['4148 W 26th St', 'Chicago, IL 60623']",4148 W 26th St,,,Chicago,IL,60623,US,Delicias Mexicanas,+17735225009,$,3.5,15,[],https://www.yelp.com/biz/delicias-mexicanas-chicago?adjust_creative=US136sO1XMxv5IZZuaYfCg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=US136sO1XMxv5IZZuaYfCg
