,city,cloudiness,country,date,humidity,lat,lon,max temp,wind speed
1,Cabo San Lucas,5.0,MX,06-04-2019,60.0,22.89,-109.91,79.0,17.22
2,Sebinkarahisar,0.0,TR,06-04-2019,83.0,40.29,38.42,27.29,2.17
3,Sorong,8.0,ID,06-04-2019,100.0,-0.86,131.25,81.56,3.4
4,Portland,40.0,US,06-04-2019,71.0,45.52,-122.67,59.0,8.05
5,Kapaa,40.0,US,06-04-2019,51.0,22.08,-159.32,84.2,10.29
6,Pevek,0.0,RU,06-04-2019,93.0,69.7,170.27,11.99,6.2
7,Hobart,75.0,AU,06-04-2019,51.0,-42.88,147.33,64.0,17.22
8,Qaanaaq,80.0,GL,06-04-2019,87.0,77.48,-69.36,12.89,11.01
9,Byron Bay,0.0,AU,06-04-2019,57.0,-28.65,153.62,80.01,9.17
10,Buchanan,20.0,LR,06-04-2019,94.0,5.88,-10.05,78.8,7.99
11,Otofuke,20.0,JP,06-04-2019,53.0,43.02,143.2,39.2,3.36
12,Rikitea,24.0,PF,06-04-2019,100.0,-23.12,-134.97,78.14,12.8
13,Albany,20.0,US,06-04-2019,53.0,42.65,-73.75,53.6,8.05
14,Tasiilaq,92.0,GL,06-04-2019,63.0,65.61,-37.64,28.4,35.57
15,Puerto Carreno,20.0,CO,06-04-2019,44.0,6.19,-67.49,93.2,2.73
16,Hermanus,48.0,ZA,06-04-2019,87.0,-34.42,19.24,62.01,7.0
17,Auki,0.0,NG,06-04-2019,45.0,12.18,6.51,82.37,8.55
18,Klaksvik,36.0,FO,06-04-2019,97.0,62.23,-6.59,41.0,10.29
19,Abu Samrah,88.0,SY,06-04-2019,89.0,35.3,37.18,55.46,3.18
20,Atambua,0.0,ID,06-04-2019,100.0,-9.11,124.89,80.3,1.95
21,Lubsko,0.0,PL,06-04-2019,75.0,51.79,14.97,46.99,1.12
22,Cape Town,0.0,ZA,06-04-2019,72.0,-33.93,18.42,64.4,11.41
23,Esperance,20.0,TT,06-04-2019,74.0,10.24,-61.45,80.01,10.29
24,Longyearbyen,20.0,NO,06-04-2019,57.0,78.22,15.63,17.6,19.46
25,Ushuaia,90.0,AR,06-04-2019,86.0,-54.81,-68.31,37.4,4.7
26,Jamestown,0.0,AU,06-04-2019,47.0,-33.21,138.6,66.62,7.65
27,Punta Arenas,20.0,CL,06-04-2019,75.0,-53.16,-70.91,44.6,39.15
28,Caravelas,0.0,BR,06-04-2019,97.0,-17.73,-39.27,82.73,13.8
29,Chuy,92.0,UY,06-04-2019,87.0,-33.69,-53.46,63.56,5.19
30,Mabaruma,92.0,GY,06-04-2019,78.0,8.2,-59.78,79.49,10.11
31,Narsaq,36.0,GL,06-04-2019,80.0,60.91,-46.05,33.8,8.05
32,Busselton,8.0,AU,06-04-2019,100.0,-33.64,115.35,62.84,10.22
33,Belmonte,68.0,PT,06-04-2019,91.0,40.36,-7.35,43.0,7.0
34,Cidreira,100.0,BR,06-04-2019,96.0,-30.17,-50.22,69.41,7.76
35,Aklavik,75.0,CA,06-04-2019,52.0,68.22,-135.01,17.6,2.24
36,Touros,40.0,BR,06-04-2019,88.0,-5.2,-35.46,80.6,4.7
37,Victoria,75.0,BN,06-04-2019,88.0,5.28,115.24,82.4,4.7
38,Presidente Medici,8.0,BR,06-04-2019,85.0,-11.18,-61.9,70.13,3.96
39,Castro,90.0,CL,06-04-2019,100.0,-42.48,-73.76,55.4,11.41
40,Vaini,0.0,IN,06-04-2019,88.0,15.34,74.49,65.36,1.05
41,Hamilton,75.0,BM,06-04-2019,88.0,32.3,-64.78,68.0,8.05
42,Avarua,48.0,CK,06-04-2019,65.0,-21.21,-159.78,80.6,12.75
43,Butaritari,80.0,KI,06-04-2019,100.0,3.07,172.79,79.22,6.76
44,Fortuna,20.0,ES,06-04-2019,54.0,38.18,-1.13,55.4,8.05
45,Katsuura,75.0,JP,06-04-2019,66.0,33.93,134.5,60.01,4.7
46,Tuktoyaktuk,40.0,CA,06-04-2019,77.0,69.44,-133.03,5.0,13.87
47,Huinan,0.0,CN,06-04-2019,75.0,42.68,126.04,35.48,6.42
48,Dossor,36.0,KZ,06-04-2019,69.0,47.52,52.98,47.54,15.26
49,El Sauzal,0.0,AR,06-04-2019,72.0,-24.3,-64.96,64.4,3.36
50,Port Alfred,8.0,ZA,06-04-2019,90.0,-33.59,26.89,61.0,1.01
51,Kaitangata,0.0,NZ,06-04-2019,47.0,-46.28,169.85,57.99,1.99
